Question_ID,Topic,Question,Answer,Options,Difficulty,Type
1617,Understanding Freedom Struggle (Key Ideas),Which of the following is a direct application of Understanding Freedom Struggle (Key Ideas)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Medium,MCQ
1618,Understanding Freedom Struggle (Key Ideas),True or False: The study of Understanding Freedom Struggle (Key Ideas) is essential for a complete understanding of Social Science concepts.,True,True|False,Medium,True/False
1619,Understanding Freedom Struggle (Key Ideas),Complete the sentence: ________ is a core foundation of the lesson Understanding Freedom Struggle (Key Ideas).,(Key,,Medium,Fill in the Blanks
1620,Understanding Freedom Struggle (Key Ideas),Match the term '(Key' with its correct definition or category.,(Key corresponds to Social Science branch,(Key -> Social Science branch|Other terms -> Other categories,Medium,Match the Following
1621,Advanced Concepts of Ancient Civilizations (Basics),What is the primary purpose of Advanced Concepts of Ancient Civilizations (Basics)?,To study and explain the properties and functions of Civilizations in Social Science.,To study and explain the properties and functions of Civilizations in Social Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Hard,MCQ
1622,Advanced Concepts of Ancient Civilizations (Basics),Which of the following is a direct application of Advanced Concepts of Ancient Civilizations (Basics)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Hard,MCQ
1623,Advanced Concepts of Ancient Civilizations (Basics),True or False: Advanced Concepts of Ancient Civilizations (Basics) has no relevance outside of Grade 8 curriculum.,False,True|False,Hard,True/False
1624,Advanced Concepts of Ancient Civilizations (Basics),Complete the sentence: ________ is a core foundation of the lesson Advanced Concepts of Ancient Civilizations (Basics).,Civilizations,,Hard,Fill in the Blanks
1625,Advanced Concepts of Ancient Civilizations (Basics),Match the term 'Civilizations' with its correct definition or category.,Civilizations corresponds to Social Science branch,Civilizations -> Social Science branch|Other terms -> Other categories,Hard,Match the Following
1626,Advanced Concepts of Freedom Struggle (Principles),What is the primary purpose of Advanced Concepts of Freedom Struggle (Principles)?,To study and explain the properties and functions of Struggle in Social Science.,To study and explain the properties and functions of Struggle in Social Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Hard,MCQ
1627,Advanced Concepts of Freedom Struggle (Principles),Which of the following is a direct application of Advanced Concepts of Freedom Struggle (Principles)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Hard,MCQ
1628,Advanced Concepts of Freedom Struggle (Principles),True or False: Advanced Concepts of Freedom Struggle (Principles) has no relevance outside of Grade 8 curriculum.,False,True|False,Hard,True/False
1629,Advanced Concepts of Freedom Struggle (Principles),Complete the sentence: ________ is a core foundation of the lesson Advanced Concepts of Freedom Struggle (Principles).,Struggle,,Hard,Fill in the Blanks
1630,Advanced Concepts of Freedom Struggle (Principles),Match the term 'Struggle' with its correct definition or category.,Struggle corresponds to Social Science branch,Struggle -> Social Science branch|Other terms -> Other categories,Hard,Match the Following
1631,Advanced Concepts of Democracy (Applications),What is the primary purpose of Advanced Concepts of Democracy (Applications)?,To study and explain the properties and functions of Democracy in Social Science.,To study and explain the properties and functions of Democracy in Social Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Hard,MCQ
1632,Advanced Concepts of Democracy (Applications),Which of the following is a direct application of Advanced Concepts of Democracy (Applications)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Hard,MCQ
1633,Advanced Concepts of Democracy (Applications),True or False: Advanced Concepts of Democracy (Applications) has no relevance outside of Grade 8 curriculum.,False,True|False,Hard,True/False
1634,Advanced Concepts of Democracy (Applications),Complete the sentence: ________ is a core foundation of the lesson Advanced Concepts of Democracy (Applications).,Democracy,,Hard,Fill in the Blanks
1635,Advanced Concepts of Democracy (Applications),Match the term 'Democracy' with its correct definition or category.,Democracy corresponds to Social Science branch,Democracy -> Social Science branch|Other terms -> Other categories,Hard,Match the Following
1636,Advanced Concepts of Constitution (Theories),What is the primary purpose of Advanced Concepts of Constitution (Theories)?,To study and explain the properties and functions of Constitution in Social Science.,To study and explain the properties and functions of Constitution in Social Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Hard,MCQ
1637,Advanced Concepts of Constitution (Theories),Which of the following is a direct application of Advanced Concepts of Constitution (Theories)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Hard,MCQ
1638,Advanced Concepts of Constitution (Theories),True or False: The study of Advanced Concepts of Constitution (Theories) is essential for a complete understanding of Social Science concepts.,True,True|False,Hard,True/False
1639,Advanced Concepts of Constitution (Theories),Complete the sentence: ________ is a core foundation of the lesson Advanced Concepts of Constitution (Theories).,Constitution,,Hard,Fill in the Blanks
1640,Advanced Concepts of Constitution (Theories),Match the term 'Constitution' with its correct definition or category.,Constitution corresponds to Social Science branch,Constitution -> Social Science branch|Other terms -> Other categories,Hard,Match the Following
1641,Advanced Concepts of Local Government (Exploration),What is the primary purpose of Advanced Concepts of Local Government (Exploration)?,To study and explain the properties and functions of Government in Social Science.,To study and explain the properties and functions of Government in Social Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Hard,MCQ
1642,Advanced Concepts of Local Government (Exploration),Which of the following is a direct application of Advanced Concepts of Local Government (Exploration)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Hard,MCQ
1643,Advanced Concepts of Local Government (Exploration),True or False: The study of Advanced Concepts of Local Government (Exploration) is essential for a complete understanding of Social Science concepts.,True,True|False,Hard,True/False
1644,Advanced Concepts of Local Government (Exploration),Complete the sentence: ________ is a core foundation of the lesson Advanced Concepts of Local Government (Exploration).,Government,,Hard,Fill in the Blanks
1645,Advanced Concepts of Local Government (Exploration),Match the term 'Government' with its correct definition or category.,Government corresponds to Social Science branch,Government -> Social Science branch|Other terms -> Other categories,Hard,Match the Following
1646,Advanced Concepts of Globe and Maps (Processes),What is the primary purpose of Advanced Concepts of Globe and Maps (Processes)?,To study and explain the properties and functions of Maps in Social Science.,To study and explain the properties and functions of Maps in Social Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Hard,MCQ
1647,Advanced Concepts of Globe and Maps (Processes),Which of the following is a direct application of Advanced Concepts of Globe and Maps (Processes)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Hard,MCQ
1648,Advanced Concepts of Globe and Maps (Processes),True or False: Advanced Concepts of Globe and Maps (Processes) has no relevance outside of Grade 8 curriculum.,False,True|False,Hard,True/False
1649,Advanced Concepts of Globe and Maps (Processes),Complete the sentence: ________ is a core foundation of the lesson Advanced Concepts of Globe and Maps (Processes).,Maps,,Hard,Fill in the Blanks
1650,Advanced Concepts of Globe and Maps (Processes),Match the term 'Maps' with its correct definition or category.,Maps corresponds to Social Science branch,Maps -> Social Science branch|Other terms -> Other categories,Hard,Match the Following
1651,Advanced Concepts of Weather (Systems),What is the primary purpose of Advanced Concepts of Weather (Systems)?,To study and explain the properties and functions of Weather in Social Science.,To study and explain the properties and functions of Weather in Social Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Hard,MCQ
1652,Advanced Concepts of Weather (Systems),Which of the following is a direct application of Advanced Concepts of Weather (Systems)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Hard,MCQ
1653,Advanced Concepts of Weather (Systems),True or False: Advanced Concepts of Weather (Systems) has no relevance outside of Grade 8 curriculum.,False,True|False,Hard,True/False
1654,Advanced Concepts of Weather (Systems),Complete the sentence: ________ is a core foundation of the lesson Advanced Concepts of Weather (Systems).,Weather,,Hard,Fill in the Blanks
1655,Advanced Concepts of Weather (Systems),Match the term 'Weather' with its correct definition or category.,Weather corresponds to Social Science branch,Weather -> Social Science branch|Other terms -> Other categories,Hard,Match the Following
1656,Advanced Concepts of Resources (Impact),What is the primary purpose of Advanced Concepts of Resources (Impact)?,To study and explain the properties and functions of Resources in Social Science.,To study and explain the properties and functions of Resources in Social Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Hard,MCQ
1657,Advanced Concepts of Resources (Impact),Which of the following is a direct application of Advanced Concepts of Resources (Impact)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Hard,MCQ
1658,Advanced Concepts of Resources (Impact),True or False: The study of Advanced Concepts of Resources (Impact) is essential for a complete understanding of Social Science concepts.,True,True|False,Hard,True/False
1659,Advanced Concepts of Resources (Impact),Complete the sentence: ________ is a core foundation of the lesson Advanced Concepts of Resources (Impact).,Resources,,Hard,Fill in the Blanks
1660,Advanced Concepts of Resources (Impact),Match the term 'Resources' with its correct definition or category.,Resources corresponds to Social Science branch,Resources -> Social Science branch|Other terms -> Other categories,Hard,Match the Following
1661,Advanced Concepts of Human Rights (Dynamics),What is the primary purpose of Advanced Concepts of Human Rights (Dynamics)?,To study and explain the properties and functions of Rights in Social Science.,To study and explain the properties and functions of Rights in Social Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Hard,MCQ
1662,Advanced Concepts of Human Rights (Dynamics),Which of the following is a direct application of Advanced Concepts of Human Rights (Dynamics)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Hard,MCQ
1663,Advanced Concepts of Human Rights (Dynamics),True or False: The study of Advanced Concepts of Human Rights (Dynamics) is essential for a complete understanding of Social Science concepts.,True,True|False,Hard,True/False
1664,Advanced Concepts of Human Rights (Dynamics),Complete the sentence: ________ is a core foundation of the lesson Advanced Concepts of Human Rights (Dynamics).,Rights,,Hard,Fill in the Blanks
1665,Advanced Concepts of Human Rights (Dynamics),Match the term 'Rights' with its correct definition or category.,Rights corresponds to Social Science branch,Rights -> Social Science branch|Other terms -> Other categories,Hard,Match the Following
1666,Advanced Concepts of Civics (Functions),What is the primary purpose of Advanced Concepts of Civics (Functions)?,To study and explain the properties and functions of Civics in Social Science.,To study and explain the properties and functions of Civics in Social Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Hard,MCQ
1667,Advanced Concepts of Civics (Functions),Which of the following is a direct application of Advanced Concepts of Civics (Functions)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Hard,MCQ
1668,Advanced Concepts of Civics (Functions),True or False: The study of Advanced Concepts of Civics (Functions) is essential for a complete understanding of Social Science concepts.,True,True|False,Hard,True/False
1669,Advanced Concepts of Civics (Functions),Complete the sentence: ________ is a core foundation of the lesson Advanced Concepts of Civics (Functions).,Civics,,Hard,Fill in the Blanks
1670,Advanced Concepts of Civics (Functions),Match the term 'Civics' with its correct definition or category.,Civics corresponds to Social Science branch,Civics -> Social Science branch|Other terms -> Other categories,Hard,Match the Following
1671,Advanced Concepts of Ancient Civilizations (Structure),What is the primary purpose of Advanced Concepts of Ancient Civilizations (Structure)?,To study and explain the properties and functions of Civilizations in Social Science.,To study and explain the properties and functions of Civilizations in Social Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Hard,MCQ
1672,Advanced Concepts of Ancient Civilizations (Structure),Which of the following is a direct application of Advanced Concepts of Ancient Civilizations (Structure)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Hard,MCQ
1673,Advanced Concepts of Ancient Civilizations (Structure),True or False: Advanced Concepts of Ancient Civilizations (Structure) has no relevance outside of Grade 8 curriculum.,False,True|False,Hard,True/False
1674,Advanced Concepts of Ancient Civilizations (Structure),Complete the sentence: ________ is a core foundation of the lesson Advanced Concepts of Ancient Civilizations (Structure).,Civilizations,,Hard,Fill in the Blanks
1675,Advanced Concepts of Ancient Civilizations (Structure),Match the term 'Civilizations' with its correct definition or category.,Civilizations corresponds to Social Science branch,Civilizations -> Social Science branch|Other terms -> Other categories,Hard,Match the Following
1676,Advanced Concepts of Freedom Struggle (Key Ideas),What is the primary purpose of Advanced Concepts of Freedom Struggle (Key Ideas)?,To study and explain the properties and functions of (Key in Social Science.,To study and explain the properties and functions of (Key in Social Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Hard,MCQ
1677,Advanced Concepts of Freedom Struggle (Key Ideas),Which of the following is a direct application of Advanced Concepts of Freedom Struggle (Key Ideas)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Hard,MCQ
1678,Advanced Concepts of Freedom Struggle (Key Ideas),True or False: Advanced Concepts of Freedom Struggle (Key Ideas) has no relevance outside of Grade 8 curriculum.,False,True|False,Hard,True/False
1679,Advanced Concepts of Freedom Struggle (Key Ideas),Complete the sentence: ________ is a core foundation of the lesson Advanced Concepts of Freedom Struggle (Key Ideas).,(Key,,Hard,Fill in the Blanks
1680,Advanced Concepts of Freedom Struggle (Key Ideas),Match the term '(Key' with its correct definition or category.,(Key corresponds to Social Science branch,(Key -> Social Science branch|Other terms -> Other categories,Hard,Match the Following
1681,Advanced Concepts of Ancient Civilizations (Basics),What is the primary purpose of Advanced Concepts of Ancient Civilizations (Basics)?,To study and explain the properties and functions of Civilizations in Social Science.,To study and explain the properties and functions of Civilizations in Social Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Hard,MCQ
1682,Advanced Concepts of Ancient Civilizations (Basics),Which of the following is a direct application of Advanced Concepts of Ancient Civilizations (Basics)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Hard,MCQ
1683,Advanced Concepts of Ancient Civilizations (Basics),True or False: The study of Advanced Concepts of Ancient Civilizations (Basics) is essential for a complete understanding of Social Science concepts.,True,True|False,Hard,True/False
1684,Advanced Concepts of Ancient Civilizations (Basics),Complete the sentence: ________ is a core foundation of the lesson Advanced Concepts of Ancient Civilizations (Basics).,Civilizations,,Hard,Fill in the Blanks
1685,Advanced Concepts of Ancient Civilizations (Basics),Match the term 'Civilizations' with its correct definition or category.,Civilizations corresponds to Social Science branch,Civilizations -> Social Science branch|Other terms -> Other categories,Hard,Match the Following
1686,Advanced Concepts of Freedom Struggle (Principles),What is the primary purpose of Advanced Concepts of Freedom Struggle (Principles)?,To study and explain the properties and functions of Struggle in Social Science.,To study and explain the properties and functions of Struggle in Social Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Hard,MCQ
1687,Advanced Concepts of Freedom Struggle (Principles),Which of the following is a direct application of Advanced Concepts of Freedom Struggle (Principles)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Hard,MCQ
1688,Advanced Concepts of Freedom Struggle (Principles),True or False: Advanced Concepts of Freedom Struggle (Principles) has no relevance outside of Grade 9 curriculum.,False,True|False,Hard,True/False
1689,Advanced Concepts of Freedom Struggle (Principles),Complete the sentence: ________ is a core foundation of the lesson Advanced Concepts of Freedom Struggle (Principles).,Struggle,,Hard,Fill in the Blanks
1690,Advanced Concepts of Freedom Struggle (Principles),Match the term 'Struggle' with its correct definition or category.,Struggle corresponds to Social Science branch,Struggle -> Social Science branch|Other terms -> Other categories,Hard,Match the Following
1691,Advanced Concepts of Democracy (Applications),What is the primary purpose of Advanced Concepts of Democracy (Applications)?,To study and explain the properties and functions of Democracy in Social Science.,To study and explain the properties and functions of Democracy in Social Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Hard,MCQ
1692,Advanced Concepts of Democracy (Applications),Which of the following is a direct application of Advanced Concepts of Democracy (Applications)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Hard,MCQ
1693,Advanced Concepts of Democracy (Applications),True or False: Advanced Concepts of Democracy (Applications) has no relevance outside of Grade 9 curriculum.,False,True|False,Hard,True/False
1694,Advanced Concepts of Democracy (Applications),Complete the sentence: ________ is a core foundation of the lesson Advanced Concepts of Democracy (Applications).,Democracy,,Hard,Fill in the Blanks
1695,Advanced Concepts of Democracy (Applications),Match the term 'Democracy' with its correct definition or category.,Democracy corresponds to Social Science branch,Democracy -> Social Science branch|Other terms -> Other categories,Hard,Match the Following
1696,Advanced Concepts of Constitution (Theories),What is the primary purpose of Advanced Concepts of Constitution (Theories)?,To study and explain the properties and functions of Constitution in Social Science.,To study and explain the properties and functions of Constitution in Social Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Hard,MCQ
1697,Advanced Concepts of Constitution (Theories),Which of the following is a direct application of Advanced Concepts of Constitution (Theories)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Hard,MCQ
1698,Advanced Concepts of Constitution (Theories),True or False: The study of Advanced Concepts of Constitution (Theories) is essential for a complete understanding of Social Science concepts.,True,True|False,Hard,True/False
1699,Advanced Concepts of Constitution (Theories),Complete the sentence: ________ is a core foundation of the lesson Advanced Concepts of Constitution (Theories).,Constitution,,Hard,Fill in the Blanks
1700,Advanced Concepts of Constitution (Theories),Match the term 'Constitution' with its correct definition or category.,Constitution corresponds to Social Science branch,Constitution -> Social Science branch|Other terms -> Other categories,Hard,Match the Following
1701,Advanced Concepts of Local Government (Exploration),What is the primary purpose of Advanced Concepts of Local Government (Exploration)?,To study and explain the properties and functions of Government in Social Science.,To study and explain the properties and functions of Government in Social Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Hard,MCQ
1702,Advanced Concepts of Local Government (Exploration),Which of the following is a direct application of Advanced Concepts of Local Government (Exploration)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Hard,MCQ
1703,Advanced Concepts of Local Government (Exploration),True or False: The study of Advanced Concepts of Local Government (Exploration) is essential for a complete understanding of Social Science concepts.,True,True|False,Hard,True/False
1704,Advanced Concepts of Local Government (Exploration),Complete the sentence: ________ is a core foundation of the lesson Advanced Concepts of Local Government (Exploration).,Government,,Hard,Fill in the Blanks
1705,Advanced Concepts of Local Government (Exploration),Match the term 'Government' with its correct definition or category.,Government corresponds to Social Science branch,Government -> Social Science branch|Other terms -> Other categories,Hard,Match the Following
1706,Advanced Concepts of Globe and Maps (Processes),What is the primary purpose of Advanced Concepts of Globe and Maps (Processes)?,To study and explain the properties and functions of Maps in Social Science.,To study and explain the properties and functions of Maps in Social Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Hard,MCQ
1707,Advanced Concepts of Globe and Maps (Processes),Which of the following is a direct application of Advanced Concepts of Globe and Maps (Processes)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Hard,MCQ
1708,Advanced Concepts of Globe and Maps (Processes),True or False: The study of Advanced Concepts of Globe and Maps (Processes) is essential for a complete understanding of Social Science concepts.,True,True|False,Hard,True/False
1709,Advanced Concepts of Globe and Maps (Processes),Complete the sentence: ________ is a core foundation of the lesson Advanced Concepts of Globe and Maps (Processes).,Maps,,Hard,Fill in the Blanks
1710,Advanced Concepts of Globe and Maps (Processes),Match the term 'Maps' with its correct definition or category.,Maps corresponds to Social Science branch,Maps -> Social Science branch|Other terms -> Other categories,Hard,Match the Following
1711,Advanced Concepts of Weather (Systems),What is the primary purpose of Advanced Concepts of Weather (Systems)?,To study and explain the properties and functions of Weather in Social Science.,To study and explain the properties and functions of Weather in Social Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Hard,MCQ
1712,Advanced Concepts of Weather (Systems),Which of the following is a direct application of Advanced Concepts of Weather (Systems)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Hard,MCQ
1713,Advanced Concepts of Weather (Systems),True or False: The study of Advanced Concepts of Weather (Systems) is essential for a complete understanding of Social Science concepts.,True,True|False,Hard,True/False
1714,Advanced Concepts of Weather (Systems),Complete the sentence: ________ is a core foundation of the lesson Advanced Concepts of Weather (Systems).,Weather,,Hard,Fill in the Blanks
1715,Advanced Concepts of Weather (Systems),Match the term 'Weather' with its correct definition or category.,Weather corresponds to Social Science branch,Weather -> Social Science branch|Other terms -> Other categories,Hard,Match the Following
1716,Advanced Concepts of Resources (Impact),What is the primary purpose of Advanced Concepts of Resources (Impact)?,To study and explain the properties and functions of Resources in Social Science.,To study and explain the properties and functions of Resources in Social Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Hard,MCQ
1717,Advanced Concepts of Resources (Impact),Which of the following is a direct application of Advanced Concepts of Resources (Impact)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Hard,MCQ
1718,Advanced Concepts of Resources (Impact),True or False: Advanced Concepts of Resources (Impact) has no relevance outside of Grade 9 curriculum.,False,True|False,Hard,True/False
1719,Advanced Concepts of Resources (Impact),Complete the sentence: ________ is a core foundation of the lesson Advanced Concepts of Resources (Impact).,Resources,,Hard,Fill in the Blanks
1720,Advanced Concepts of Resources (Impact),Match the term 'Resources' with its correct definition or category.,Resources corresponds to Social Science branch,Resources -> Social Science branch|Other terms -> Other categories,Hard,Match the Following
1721,Advanced Concepts of Human Rights (Dynamics),What is the primary purpose of Advanced Concepts of Human Rights (Dynamics)?,To study and explain the properties and functions of Rights in Social Science.,To study and explain the properties and functions of Rights in Social Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Hard,MCQ
1722,Advanced Concepts of Human Rights (Dynamics),Which of the following is a direct application of Advanced Concepts of Human Rights (Dynamics)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Hard,MCQ
1723,Advanced Concepts of Human Rights (Dynamics),True or False: Advanced Concepts of Human Rights (Dynamics) has no relevance outside of Grade 9 curriculum.,False,True|False,Hard,True/False
1724,Advanced Concepts of Human Rights (Dynamics),Complete the sentence: ________ is a core foundation of the lesson Advanced Concepts of Human Rights (Dynamics).,Rights,,Hard,Fill in the Blanks
1725,Advanced Concepts of Human Rights (Dynamics),Match the term 'Rights' with its correct definition or category.,Rights corresponds to Social Science branch,Rights -> Social Science branch|Other terms -> Other categories,Hard,Match the Following
1726,Advanced Concepts of Civics (Functions),What is the primary purpose of Advanced Concepts of Civics (Functions)?,To study and explain the properties and functions of Civics in Social Science.,To study and explain the properties and functions of Civics in Social Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Hard,MCQ
1727,Advanced Concepts of Civics (Functions),Which of the following is a direct application of Advanced Concepts of Civics (Functions)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Hard,MCQ
1728,Advanced Concepts of Civics (Functions),True or False: The study of Advanced Concepts of Civics (Functions) is essential for a complete understanding of Social Science concepts.,True,True|False,Hard,True/False
1729,Advanced Concepts of Civics (Functions),Complete the sentence: ________ is a core foundation of the lesson Advanced Concepts of Civics (Functions).,Civics,,Hard,Fill in the Blanks
1730,Advanced Concepts of Civics (Functions),Match the term 'Civics' with its correct definition or category.,Civics corresponds to Social Science branch,Civics -> Social Science branch|Other terms -> Other categories,Hard,Match the Following
1731,Advanced Concepts of Ancient Civilizations (Structure),What is the primary purpose of Advanced Concepts of Ancient Civilizations (Structure)?,To study and explain the properties and functions of Civilizations in Social Science.,To study and explain the properties and functions of Civilizations in Social Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Hard,MCQ
1732,Advanced Concepts of Ancient Civilizations (Structure),Which of the following is a direct application of Advanced Concepts of Ancient Civilizations (Structure)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Hard,MCQ
1733,Advanced Concepts of Ancient Civilizations (Structure),True or False: The study of Advanced Concepts of Ancient Civilizations (Structure) is essential for a complete understanding of Social Science concepts.,True,True|False,Hard,True/False
1734,Advanced Concepts of Ancient Civilizations (Structure),Complete the sentence: ________ is a core foundation of the lesson Advanced Concepts of Ancient Civilizations (Structure).,Civilizations,,Hard,Fill in the Blanks
1735,Advanced Concepts of Ancient Civilizations (Structure),Match the term 'Civilizations' with its correct definition or category.,Civilizations corresponds to Social Science branch,Civilizations -> Social Science branch|Other terms -> Other categories,Hard,Match the Following
1736,Advanced Concepts of Freedom Struggle (Key Ideas),What is the primary purpose of Advanced Concepts of Freedom Struggle (Key Ideas)?,To study and explain the properties and functions of (Key in Social Science.,To study and explain the properties and functions of (Key in Social Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Hard,MCQ
1737,Advanced Concepts of Freedom Struggle (Key Ideas),Which of the following is a direct application of Advanced Concepts of Freedom Struggle (Key Ideas)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Hard,MCQ
1738,Advanced Concepts of Freedom Struggle (Key Ideas),True or False: The study of Advanced Concepts of Freedom Struggle (Key Ideas) is essential for a complete understanding of Social Science concepts.,True,True|False,Hard,True/False
1739,Advanced Concepts of Freedom Struggle (Key Ideas),Complete the sentence: ________ is a core foundation of the lesson Advanced Concepts of Freedom Struggle (Key Ideas).,(Key,,Hard,Fill in the Blanks
1740,Advanced Concepts of Freedom Struggle (Key Ideas),Match the term '(Key' with its correct definition or category.,(Key corresponds to Social Science branch,(Key -> Social Science branch|Other terms -> Other categories,Hard,Match the Following
1741,Advanced Concepts of Ancient Civilizations (Basics),What is the primary purpose of Advanced Concepts of Ancient Civilizations (Basics)?,To study and explain the properties and functions of Civilizations in Social Science.,To study and explain the properties and functions of Civilizations in Social Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Hard,MCQ
1742,Advanced Concepts of Ancient Civilizations (Basics),Which of the following is a direct application of Advanced Concepts of Ancient Civilizations (Basics)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Hard,MCQ
1743,Advanced Concepts of Ancient Civilizations (Basics),True or False: The study of Advanced Concepts of Ancient Civilizations (Basics) is essential for a complete understanding of Social Science concepts.,True,True|False,Hard,True/False
1744,Advanced Concepts of Ancient Civilizations (Basics),Complete the sentence: ________ is a core foundation of the lesson Advanced Concepts of Ancient Civilizations (Basics).,Civilizations,,Hard,Fill in the Blanks
1745,Advanced Concepts of Ancient Civilizations (Basics),Match the term 'Civilizations' with its correct definition or category.,Civilizations corresponds to Social Science branch,Civilizations -> Social Science branch|Other terms -> Other categories,Hard,Match the Following
