Topic_ID,Subject,Grade,Topic,Description,Keywords,Difficulty
302,Social Science,6,Understanding Freedom Struggle (Principles),"Learn about the foundational elements, mechanisms, and real-world importance of Freedom Struggle tailored for Grade 6 students.","social science, grade 6, freedom struggle, principles",Medium
303,Social Science,6,Understanding Democracy (Applications),"Learn about the foundational elements, mechanisms, and real-world importance of Democracy tailored for Grade 6 students.","social science, grade 6, democracy, applications",Medium
304,Social Science,6,Understanding Constitution (Theories),"Learn about the foundational elements, mechanisms, and real-world importance of Constitution tailored for Grade 6 students.","social science, grade 6, constitution, theories",Medium
305,Social Science,6,Understanding Local Government (Exploration),"Learn about the foundational elements, mechanisms, and real-world importance of Local Government tailored for Grade 6 students.","social science, grade 6, local government, exploration",Medium
306,Social Science,6,Understanding Globe and Maps (Processes),"Learn about the foundational elements, mechanisms, and real-world importance of Globe and Maps tailored for Grade 6 students.","social science, grade 6, globe and maps, processes",Medium
307,Social Science,6,Understanding Weather (Systems),"Learn about the foundational elements, mechanisms, and real-world importance of Weather tailored for Grade 6 students.","social science, grade 6, weather, systems",Medium
308,Social Science,6,Understanding Resources (Impact),"Learn about the foundational elements, mechanisms, and real-world importance of Resources tailored for Grade 6 students.","social science, grade 6, resources, impact",Medium
309,Social Science,6,Understanding Human Rights (Dynamics),"Learn about the foundational elements, mechanisms, and real-world importance of Human Rights tailored for Grade 6 students.","social science, grade 6, human rights, dynamics",Medium
310,Social Science,6,Understanding Civics (Functions),"Learn about the foundational elements, mechanisms, and real-world importance of Civics tailored for Grade 6 students.","social science, grade 6, civics, functions",Medium
311,Social Science,6,Understanding Ancient Civilizations (Structure),"Learn about the foundational elements, mechanisms, and real-world importance of Ancient Civilizations tailored for Grade 6 students.","social science, grade 6, ancient civilizations, structure",Medium
312,Social Science,6,Understanding Freedom Struggle (Key Ideas),"Learn about the foundational elements, mechanisms, and real-world importance of Freedom Struggle tailored for Grade 6 students.","social science, grade 6, freedom struggle, key ideas",Medium
313,Social Science,7,Understanding Ancient Civilizations (Basics),"Learn about the foundational elements, mechanisms, and real-world importance of Ancient Civilizations tailored for Grade 7 students.","social science, grade 7, ancient civilizations, basics",Medium
314,Social Science,7,Understanding Freedom Struggle (Principles),"Learn about the foundational elements, mechanisms, and real-world importance of Freedom Struggle tailored for Grade 7 students.","social science, grade 7, freedom struggle, principles",Medium
315,Social Science,7,Understanding Democracy (Applications),"Learn about the foundational elements, mechanisms, and real-world importance of Democracy tailored for Grade 7 students.","social science, grade 7, democracy, applications",Medium
316,Social Science,7,Understanding Constitution (Theories),"Learn about the foundational elements, mechanisms, and real-world importance of Constitution tailored for Grade 7 students.","social science, grade 7, constitution, theories",Medium
317,Social Science,7,Understanding Local Government (Exploration),"Learn about the foundational elements, mechanisms, and real-world importance of Local Government tailored for Grade 7 students.","social science, grade 7, local government, exploration",Medium
318,Social Science,7,Understanding Globe and Maps (Processes),"Learn about the foundational elements, mechanisms, and real-world importance of Globe and Maps tailored for Grade 7 students.","social science, grade 7, globe and maps, processes",Medium
319,Social Science,7,Understanding Weather (Systems),"Learn about the foundational elements, mechanisms, and real-world importance of Weather tailored for Grade 7 students.","social science, grade 7, weather, systems",Medium
320,Social Science,7,Understanding Resources (Impact),"Learn about the foundational elements, mechanisms, and real-world importance of Resources tailored for Grade 7 students.","social science, grade 7, resources, impact",Medium
321,Social Science,7,Understanding Human Rights (Dynamics),"Learn about the foundational elements, mechanisms, and real-world importance of Human Rights tailored for Grade 7 students.","social science, grade 7, human rights, dynamics",Medium
322,Social Science,7,Understanding Civics (Functions),"Learn about the foundational elements, mechanisms, and real-world importance of Civics tailored for Grade 7 students.","social science, grade 7, civics, functions",Medium
323,Social Science,7,Understanding Ancient Civilizations (Structure),"Learn about the foundational elements, mechanisms, and real-world importance of Ancient Civilizations tailored for Grade 7 students.","social science, grade 7, ancient civilizations, structure",Medium
324,Social Science,7,Understanding Freedom Struggle (Key Ideas),"Learn about the foundational elements, mechanisms, and real-world importance of Freedom Struggle tailored for Grade 7 students.","social science, grade 7, freedom struggle, key ideas",Medium
325,Social Science,8,Advanced Concepts of Ancient Civilizations (Basics),"Learn about the foundational elements, mechanisms, and real-world importance of Ancient Civilizations tailored for Grade 8 students.","social science, grade 8, ancient civilizations, basics",Hard
326,Social Science,8,Advanced Concepts of Freedom Struggle (Principles),"Learn about the foundational elements, mechanisms, and real-world importance of Freedom Struggle tailored for Grade 8 students.","social science, grade 8, freedom struggle, principles",Hard
327,Social Science,8,Advanced Concepts of Democracy (Applications),"Learn about the foundational elements, mechanisms, and real-world importance of Democracy tailored for Grade 8 students.","social science, grade 8, democracy, applications",Hard
328,Social Science,8,Advanced Concepts of Constitution (Theories),"Learn about the foundational elements, mechanisms, and real-world importance of Constitution tailored for Grade 8 students.","social science, grade 8, constitution, theories",Hard
329,Social Science,8,Advanced Concepts of Local Government (Exploration),"Learn about the foundational elements, mechanisms, and real-world importance of Local Government tailored for Grade 8 students.","social science, grade 8, local government, exploration",Hard
330,Social Science,8,Advanced Concepts of Globe and Maps (Processes),"Learn about the foundational elements, mechanisms, and real-world importance of Globe and Maps tailored for Grade 8 students.","social science, grade 8, globe and maps, processes",Hard
331,Social Science,8,Advanced Concepts of Weather (Systems),"Learn about the foundational elements, mechanisms, and real-world importance of Weather tailored for Grade 8 students.","social science, grade 8, weather, systems",Hard
332,Social Science,8,Advanced Concepts of Resources (Impact),"Learn about the foundational elements, mechanisms, and real-world importance of Resources tailored for Grade 8 students.","social science, grade 8, resources, impact",Hard
333,Social Science,8,Advanced Concepts of Human Rights (Dynamics),"Learn about the foundational elements, mechanisms, and real-world importance of Human Rights tailored for Grade 8 students.","social science, grade 8, human rights, dynamics",Hard
334,Social Science,8,Advanced Concepts of Civics (Functions),"Learn about the foundational elements, mechanisms, and real-world importance of Civics tailored for Grade 8 students.","social science, grade 8, civics, functions",Hard
335,Social Science,8,Advanced Concepts of Ancient Civilizations (Structure),"Learn about the foundational elements, mechanisms, and real-world importance of Ancient Civilizations tailored for Grade 8 students.","social science, grade 8, ancient civilizations, structure",Hard
336,Social Science,8,Advanced Concepts of Freedom Struggle (Key Ideas),"Learn about the foundational elements, mechanisms, and real-world importance of Freedom Struggle tailored for Grade 8 students.","social science, grade 8, freedom struggle, key ideas",Hard
337,Social Science,9,Advanced Concepts of Ancient Civilizations (Basics),"Learn about the foundational elements, mechanisms, and real-world importance of Ancient Civilizations tailored for Grade 9 students.","social science, grade 9, ancient civilizations, basics",Hard
338,Social Science,9,Advanced Concepts of Freedom Struggle (Principles),"Learn about the foundational elements, mechanisms, and real-world importance of Freedom Struggle tailored for Grade 9 students.","social science, grade 9, freedom struggle, principles",Hard
339,Social Science,9,Advanced Concepts of Democracy (Applications),"Learn about the foundational elements, mechanisms, and real-world importance of Democracy tailored for Grade 9 students.","social science, grade 9, democracy, applications",Hard
340,Social Science,9,Advanced Concepts of Constitution (Theories),"Learn about the foundational elements, mechanisms, and real-world importance of Constitution tailored for Grade 9 students.","social science, grade 9, constitution, theories",Hard
341,Social Science,9,Advanced Concepts of Local Government (Exploration),"Learn about the foundational elements, mechanisms, and real-world importance of Local Government tailored for Grade 9 students.","social science, grade 9, local government, exploration",Hard
342,Social Science,9,Advanced Concepts of Globe and Maps (Processes),"Learn about the foundational elements, mechanisms, and real-world importance of Globe and Maps tailored for Grade 9 students.","social science, grade 9, globe and maps, processes",Hard
343,Social Science,9,Advanced Concepts of Weather (Systems),"Learn about the foundational elements, mechanisms, and real-world importance of Weather tailored for Grade 9 students.","social science, grade 9, weather, systems",Hard
344,Social Science,9,Advanced Concepts of Resources (Impact),"Learn about the foundational elements, mechanisms, and real-world importance of Resources tailored for Grade 9 students.","social science, grade 9, resources, impact",Hard
345,Social Science,9,Advanced Concepts of Human Rights (Dynamics),"Learn about the foundational elements, mechanisms, and real-world importance of Human Rights tailored for Grade 9 students.","social science, grade 9, human rights, dynamics",Hard
346,Social Science,9,Advanced Concepts of Civics (Functions),"Learn about the foundational elements, mechanisms, and real-world importance of Civics tailored for Grade 9 students.","social science, grade 9, civics, functions",Hard
347,Social Science,9,Advanced Concepts of Ancient Civilizations (Structure),"Learn about the foundational elements, mechanisms, and real-world importance of Ancient Civilizations tailored for Grade 9 students.","social science, grade 9, ancient civilizations, structure",Hard
348,Social Science,9,Advanced Concepts of Freedom Struggle (Key Ideas),"Learn about the foundational elements, mechanisms, and real-world importance of Freedom Struggle tailored for Grade 9 students.","social science, grade 9, freedom struggle, key ideas",Hard
349,Social Science,10,Advanced Concepts of Ancient Civilizations (Basics),"Learn about the foundational elements, mechanisms, and real-world importance of Ancient Civilizations tailored for Grade 10 students.","social science, grade 10, ancient civilizations, basics",Hard
350,Social Science,10,Advanced Concepts of Freedom Struggle (Principles),"Learn about the foundational elements, mechanisms, and real-world importance of Freedom Struggle tailored for Grade 10 students.","social science, grade 10, freedom struggle, principles",Hard
351,Social Science,10,Advanced Concepts of Democracy (Applications),"Learn about the foundational elements, mechanisms, and real-world importance of Democracy tailored for Grade 10 students.","social science, grade 10, democracy, applications",Hard
352,Social Science,10,Advanced Concepts of Constitution (Theories),"Learn about the foundational elements, mechanisms, and real-world importance of Constitution tailored for Grade 10 students.","social science, grade 10, constitution, theories",Hard
353,Social Science,10,Advanced Concepts of Local Government (Exploration),"Learn about the foundational elements, mechanisms, and real-world importance of Local Government tailored for Grade 10 students.","social science, grade 10, local government, exploration",Hard
354,Social Science,10,Advanced Concepts of Globe and Maps (Processes),"Learn about the foundational elements, mechanisms, and real-world importance of Globe and Maps tailored for Grade 10 students.","social science, grade 10, globe and maps, processes",Hard
355,Social Science,10,Advanced Concepts of Weather (Systems),"Learn about the foundational elements, mechanisms, and real-world importance of Weather tailored for Grade 10 students.","social science, grade 10, weather, systems",Hard
356,Social Science,10,Advanced Concepts of Resources (Impact),"Learn about the foundational elements, mechanisms, and real-world importance of Resources tailored for Grade 10 students.","social science, grade 10, resources, impact",Hard
357,Social Science,10,Advanced Concepts of Human Rights (Dynamics),"Learn about the foundational elements, mechanisms, and real-world importance of Human Rights tailored for Grade 10 students.","social science, grade 10, human rights, dynamics",Hard
358,Social Science,10,Advanced Concepts of Civics (Functions),"Learn about the foundational elements, mechanisms, and real-world importance of Civics tailored for Grade 10 students.","social science, grade 10, civics, functions",Hard
359,Social Science,10,Advanced Concepts of Ancient Civilizations (Structure),"Learn about the foundational elements, mechanisms, and real-world importance of Ancient Civilizations tailored for Grade 10 students.","social science, grade 10, ancient civilizations, structure",Hard
360,Social Science,10,Advanced Concepts of Freedom Struggle (Key Ideas),"Learn about the foundational elements, mechanisms, and real-world importance of Freedom Struggle tailored for Grade 10 students.","social science, grade 10, freedom struggle, key ideas",Hard
361,English,1,Introduction to Nouns (Basics),"Learn about the foundational elements, mechanisms, and real-world importance of Nouns tailored for Grade 1 students.","english, grade 1, nouns, basics",Easy
362,English,1,Introduction to Verbs (Principles),"Learn about the foundational elements, mechanisms, and real-world importance of Verbs tailored for Grade 1 students.","english, grade 1, verbs, principles",Easy
363,English,1,Introduction to Adjectives (Applications),"Learn about the foundational elements, mechanisms, and real-world importance of Adjectives tailored for Grade 1 students.","english, grade 1, adjectives, applications",Easy
364,English,1,Introduction to Pronouns (Theories),"Learn about the foundational elements, mechanisms, and real-world importance of Pronouns tailored for Grade 1 students.","english, grade 1, pronouns, theories",Easy
365,English,1,Introduction to Tenses (Exploration),"Learn about the foundational elements, mechanisms, and real-world importance of Tenses tailored for Grade 1 students.","english, grade 1, tenses, exploration",Easy
366,English,1,Introduction to Direct and Indirect Speech (Processes),"Learn about the foundational elements, mechanisms, and real-world importance of Direct and Indirect Speech tailored for Grade 1 students.","english, grade 1, direct and indirect speech, processes",Easy
367,English,1,Introduction to Active and Passive Voice (Systems),"Learn about the foundational elements, mechanisms, and real-world importance of Active and Passive Voice tailored for Grade 1 students.","english, grade 1, active and passive voice, systems",Easy
368,English,1,Introduction to Conjunctions (Impact),"Learn about the foundational elements, mechanisms, and real-world importance of Conjunctions tailored for Grade 1 students.","english, grade 1, conjunctions, impact",Easy
369,English,1,Introduction to Prepositions (Dynamics),"Learn about the foundational elements, mechanisms, and real-world importance of Prepositions tailored for Grade 1 students.","english, grade 1, prepositions, dynamics",Easy
370,English,1,Introduction to Subject-Verb Agreement (Functions),"Learn about the foundational elements, mechanisms, and real-world importance of Subject-Verb Agreement tailored for Grade 1 students.","english, grade 1, subject-verb agreement, functions",Easy
371,English,1,Introduction to Vocabulary (Structure),"Learn about the foundational elements, mechanisms, and real-world importance of Vocabulary tailored for Grade 1 students.","english, grade 1, vocabulary, structure",Easy
372,English,1,Introduction to Punctuation (Key Ideas),"Learn about the foundational elements, mechanisms, and real-world importance of Punctuation tailored for Grade 1 students.","english, grade 1, punctuation, key ideas",Easy
373,English,2,Introduction to Nouns (Basics),"Learn about the foundational elements, mechanisms, and real-world importance of Nouns tailored for Grade 2 students.","english, grade 2, nouns, basics",Easy
374,English,2,Introduction to Verbs (Principles),"Learn about the foundational elements, mechanisms, and real-world importance of Verbs tailored for Grade 2 students.","english, grade 2, verbs, principles",Easy
375,English,2,Introduction to Adjectives (Applications),"Learn about the foundational elements, mechanisms, and real-world importance of Adjectives tailored for Grade 2 students.","english, grade 2, adjectives, applications",Easy
376,English,2,Introduction to Pronouns (Theories),"Learn about the foundational elements, mechanisms, and real-world importance of Pronouns tailored for Grade 2 students.","english, grade 2, pronouns, theories",Easy
377,English,2,Introduction to Tenses (Exploration),"Learn about the foundational elements, mechanisms, and real-world importance of Tenses tailored for Grade 2 students.","english, grade 2, tenses, exploration",Easy
378,English,2,Introduction to Direct and Indirect Speech (Processes),"Learn about the foundational elements, mechanisms, and real-world importance of Direct and Indirect Speech tailored for Grade 2 students.","english, grade 2, direct and indirect speech, processes",Easy
379,English,2,Introduction to Active and Passive Voice (Systems),"Learn about the foundational elements, mechanisms, and real-world importance of Active and Passive Voice tailored for Grade 2 students.","english, grade 2, active and passive voice, systems",Easy
380,English,2,Introduction to Conjunctions (Impact),"Learn about the foundational elements, mechanisms, and real-world importance of Conjunctions tailored for Grade 2 students.","english, grade 2, conjunctions, impact",Easy
381,English,2,Introduction to Prepositions (Dynamics),"Learn about the foundational elements, mechanisms, and real-world importance of Prepositions tailored for Grade 2 students.","english, grade 2, prepositions, dynamics",Easy
382,English,2,Introduction to Subject-Verb Agreement (Functions),"Learn about the foundational elements, mechanisms, and real-world importance of Subject-Verb Agreement tailored for Grade 2 students.","english, grade 2, subject-verb agreement, functions",Easy
383,English,2,Introduction to Vocabulary (Structure),"Learn about the foundational elements, mechanisms, and real-world importance of Vocabulary tailored for Grade 2 students.","english, grade 2, vocabulary, structure",Easy
384,English,2,Introduction to Punctuation (Key Ideas),"Learn about the foundational elements, mechanisms, and real-world importance of Punctuation tailored for Grade 2 students.","english, grade 2, punctuation, key ideas",Easy
385,English,3,Introduction to Nouns (Basics),"Learn about the foundational elements, mechanisms, and real-world importance of Nouns tailored for Grade 3 students.","english, grade 3, nouns, basics",Easy
386,English,3,Introduction to Verbs (Principles),"Learn about the foundational elements, mechanisms, and real-world importance of Verbs tailored for Grade 3 students.","english, grade 3, verbs, principles",Easy
387,English,3,Introduction to Adjectives (Applications),"Learn about the foundational elements, mechanisms, and real-world importance of Adjectives tailored for Grade 3 students.","english, grade 3, adjectives, applications",Easy
388,English,3,Introduction to Pronouns (Theories),"Learn about the foundational elements, mechanisms, and real-world importance of Pronouns tailored for Grade 3 students.","english, grade 3, pronouns, theories",Easy
389,English,3,Introduction to Tenses (Exploration),"Learn about the foundational elements, mechanisms, and real-world importance of Tenses tailored for Grade 3 students.","english, grade 3, tenses, exploration",Easy
390,English,3,Introduction to Direct and Indirect Speech (Processes),"Learn about the foundational elements, mechanisms, and real-world importance of Direct and Indirect Speech tailored for Grade 3 students.","english, grade 3, direct and indirect speech, processes",Easy
391,English,3,Introduction to Active and Passive Voice (Systems),"Learn about the foundational elements, mechanisms, and real-world importance of Active and Passive Voice tailored for Grade 3 students.","english, grade 3, active and passive voice, systems",Easy
392,English,3,Introduction to Conjunctions (Impact),"Learn about the foundational elements, mechanisms, and real-world importance of Conjunctions tailored for Grade 3 students.","english, grade 3, conjunctions, impact",Easy
393,English,3,Introduction to Prepositions (Dynamics),"Learn about the foundational elements, mechanisms, and real-world importance of Prepositions tailored for Grade 3 students.","english, grade 3, prepositions, dynamics",Easy
394,English,3,Introduction to Subject-Verb Agreement (Functions),"Learn about the foundational elements, mechanisms, and real-world importance of Subject-Verb Agreement tailored for Grade 3 students.","english, grade 3, subject-verb agreement, functions",Easy
395,English,3,Introduction to Vocabulary (Structure),"Learn about the foundational elements, mechanisms, and real-world importance of Vocabulary tailored for Grade 3 students.","english, grade 3, vocabulary, structure",Easy
396,English,3,Introduction to Punctuation (Key Ideas),"Learn about the foundational elements, mechanisms, and real-world importance of Punctuation tailored for Grade 3 students.","english, grade 3, punctuation, key ideas",Easy
397,English,4,Understanding Nouns (Basics),"Learn about the foundational elements, mechanisms, and real-world importance of Nouns tailored for Grade 4 students.","english, grade 4, nouns, basics",Medium
398,English,4,Understanding Verbs (Principles),"Learn about the foundational elements, mechanisms, and real-world importance of Verbs tailored for Grade 4 students.","english, grade 4, verbs, principles",Medium
399,English,4,Understanding Adjectives (Applications),"Learn about the foundational elements, mechanisms, and real-world importance of Adjectives tailored for Grade 4 students.","english, grade 4, adjectives, applications",Medium
400,English,4,Understanding Pronouns (Theories),"Learn about the foundational elements, mechanisms, and real-world importance of Pronouns tailored for Grade 4 students.","english, grade 4, pronouns, theories",Medium
401,English,4,Understanding Tenses (Exploration),"Learn about the foundational elements, mechanisms, and real-world importance of Tenses tailored for Grade 4 students.","english, grade 4, tenses, exploration",Medium
402,English,4,Understanding Direct and Indirect Speech (Processes),"Learn about the foundational elements, mechanisms, and real-world importance of Direct and Indirect Speech tailored for Grade 4 students.","english, grade 4, direct and indirect speech, processes",Medium
403,English,4,Understanding Active and Passive Voice (Systems),"Learn about the foundational elements, mechanisms, and real-world importance of Active and Passive Voice tailored for Grade 4 students.","english, grade 4, active and passive voice, systems",Medium
404,English,4,Understanding Conjunctions (Impact),"Learn about the foundational elements, mechanisms, and real-world importance of Conjunctions tailored for Grade 4 students.","english, grade 4, conjunctions, impact",Medium
405,English,4,Understanding Prepositions (Dynamics),"Learn about the foundational elements, mechanisms, and real-world importance of Prepositions tailored for Grade 4 students.","english, grade 4, prepositions, dynamics",Medium
406,English,4,Understanding Subject-Verb Agreement (Functions),"Learn about the foundational elements, mechanisms, and real-world importance of Subject-Verb Agreement tailored for Grade 4 students.","english, grade 4, subject-verb agreement, functions",Medium
407,English,4,Understanding Vocabulary (Structure),"Learn about the foundational elements, mechanisms, and real-world importance of Vocabulary tailored for Grade 4 students.","english, grade 4, vocabulary, structure",Medium
408,English,4,Understanding Punctuation (Key Ideas),"Learn about the foundational elements, mechanisms, and real-world importance of Punctuation tailored for Grade 4 students.","english, grade 4, punctuation, key ideas",Medium
409,English,5,Understanding Nouns (Basics),"Learn about the foundational elements, mechanisms, and real-world importance of Nouns tailored for Grade 5 students.","english, grade 5, nouns, basics",Medium
410,English,5,Understanding Verbs (Principles),"Learn about the foundational elements, mechanisms, and real-world importance of Verbs tailored for Grade 5 students.","english, grade 5, verbs, principles",Medium
411,English,5,Understanding Adjectives (Applications),"Learn about the foundational elements, mechanisms, and real-world importance of Adjectives tailored for Grade 5 students.","english, grade 5, adjectives, applications",Medium
412,English,5,Understanding Pronouns (Theories),"Learn about the foundational elements, mechanisms, and real-world importance of Pronouns tailored for Grade 5 students.","english, grade 5, pronouns, theories",Medium
413,English,5,Understanding Tenses (Exploration),"Learn about the foundational elements, mechanisms, and real-world importance of Tenses tailored for Grade 5 students.","english, grade 5, tenses, exploration",Medium
414,English,5,Understanding Direct and Indirect Speech (Processes),"Learn about the foundational elements, mechanisms, and real-world importance of Direct and Indirect Speech tailored for Grade 5 students.","english, grade 5, direct and indirect speech, processes",Medium
415,English,5,Understanding Active and Passive Voice (Systems),"Learn about the foundational elements, mechanisms, and real-world importance of Active and Passive Voice tailored for Grade 5 students.","english, grade 5, active and passive voice, systems",Medium
416,English,5,Understanding Conjunctions (Impact),"Learn about the foundational elements, mechanisms, and real-world importance of Conjunctions tailored for Grade 5 students.","english, grade 5, conjunctions, impact",Medium
417,English,5,Understanding Prepositions (Dynamics),"Learn about the foundational elements, mechanisms, and real-world importance of Prepositions tailored for Grade 5 students.","english, grade 5, prepositions, dynamics",Medium
418,English,5,Understanding Subject-Verb Agreement (Functions),"Learn about the foundational elements, mechanisms, and real-world importance of Subject-Verb Agreement tailored for Grade 5 students.","english, grade 5, subject-verb agreement, functions",Medium
419,English,5,Understanding Vocabulary (Structure),"Learn about the foundational elements, mechanisms, and real-world importance of Vocabulary tailored for Grade 5 students.","english, grade 5, vocabulary, structure",Medium
420,English,5,Understanding Punctuation (Key Ideas),"Learn about the foundational elements, mechanisms, and real-world importance of Punctuation tailored for Grade 5 students.","english, grade 5, punctuation, key ideas",Medium
421,English,6,Understanding Nouns (Basics),"Learn about the foundational elements, mechanisms, and real-world importance of Nouns tailored for Grade 6 students.","english, grade 6, nouns, basics",Medium
422,English,6,Understanding Verbs (Principles),"Learn about the foundational elements, mechanisms, and real-world importance of Verbs tailored for Grade 6 students.","english, grade 6, verbs, principles",Medium
423,English,6,Understanding Adjectives (Applications),"Learn about the foundational elements, mechanisms, and real-world importance of Adjectives tailored for Grade 6 students.","english, grade 6, adjectives, applications",Medium
424,English,6,Understanding Pronouns (Theories),"Learn about the foundational elements, mechanisms, and real-world importance of Pronouns tailored for Grade 6 students.","english, grade 6, pronouns, theories",Medium
425,English,6,Understanding Tenses (Exploration),"Learn about the foundational elements, mechanisms, and real-world importance of Tenses tailored for Grade 6 students.","english, grade 6, tenses, exploration",Medium
426,English,6,Understanding Direct and Indirect Speech (Processes),"Learn about the foundational elements, mechanisms, and real-world importance of Direct and Indirect Speech tailored for Grade 6 students.","english, grade 6, direct and indirect speech, processes",Medium
427,English,6,Understanding Active and Passive Voice (Systems),"Learn about the foundational elements, mechanisms, and real-world importance of Active and Passive Voice tailored for Grade 6 students.","english, grade 6, active and passive voice, systems",Medium
428,English,6,Understanding Conjunctions (Impact),"Learn about the foundational elements, mechanisms, and real-world importance of Conjunctions tailored for Grade 6 students.","english, grade 6, conjunctions, impact",Medium
429,English,6,Understanding Prepositions (Dynamics),"Learn about the foundational elements, mechanisms, and real-world importance of Prepositions tailored for Grade 6 students.","english, grade 6, prepositions, dynamics",Medium
430,English,6,Understanding Subject-Verb Agreement (Functions),"Learn about the foundational elements, mechanisms, and real-world importance of Subject-Verb Agreement tailored for Grade 6 students.","english, grade 6, subject-verb agreement, functions",Medium
431,English,6,Understanding Vocabulary (Structure),"Learn about the foundational elements, mechanisms, and real-world importance of Vocabulary tailored for Grade 6 students.","english, grade 6, vocabulary, structure",Medium
432,English,6,Understanding Punctuation (Key Ideas),"Learn about the foundational elements, mechanisms, and real-world importance of Punctuation tailored for Grade 6 students.","english, grade 6, punctuation, key ideas",Medium
433,English,7,Understanding Nouns (Basics),"Learn about the foundational elements, mechanisms, and real-world importance of Nouns tailored for Grade 7 students.","english, grade 7, nouns, basics",Medium
434,English,7,Understanding Verbs (Principles),"Learn about the foundational elements, mechanisms, and real-world importance of Verbs tailored for Grade 7 students.","english, grade 7, verbs, principles",Medium
435,English,7,Understanding Adjectives (Applications),"Learn about the foundational elements, mechanisms, and real-world importance of Adjectives tailored for Grade 7 students.","english, grade 7, adjectives, applications",Medium
436,English,7,Understanding Pronouns (Theories),"Learn about the foundational elements, mechanisms, and real-world importance of Pronouns tailored for Grade 7 students.","english, grade 7, pronouns, theories",Medium
437,English,7,Understanding Tenses (Exploration),"Learn about the foundational elements, mechanisms, and real-world importance of Tenses tailored for Grade 7 students.","english, grade 7, tenses, exploration",Medium
438,English,7,Understanding Direct and Indirect Speech (Processes),"Learn about the foundational elements, mechanisms, and real-world importance of Direct and Indirect Speech tailored for Grade 7 students.","english, grade 7, direct and indirect speech, processes",Medium
439,English,7,Understanding Active and Passive Voice (Systems),"Learn about the foundational elements, mechanisms, and real-world importance of Active and Passive Voice tailored for Grade 7 students.","english, grade 7, active and passive voice, systems",Medium
440,English,7,Understanding Conjunctions (Impact),"Learn about the foundational elements, mechanisms, and real-world importance of Conjunctions tailored for Grade 7 students.","english, grade 7, conjunctions, impact",Medium
441,English,7,Understanding Prepositions (Dynamics),"Learn about the foundational elements, mechanisms, and real-world importance of Prepositions tailored for Grade 7 students.","english, grade 7, prepositions, dynamics",Medium
442,English,7,Understanding Subject-Verb Agreement (Functions),"Learn about the foundational elements, mechanisms, and real-world importance of Subject-Verb Agreement tailored for Grade 7 students.","english, grade 7, subject-verb agreement, functions",Medium
443,English,7,Understanding Vocabulary (Structure),"Learn about the foundational elements, mechanisms, and real-world importance of Vocabulary tailored for Grade 7 students.","english, grade 7, vocabulary, structure",Medium
444,English,7,Understanding Punctuation (Key Ideas),"Learn about the foundational elements, mechanisms, and real-world importance of Punctuation tailored for Grade 7 students.","english, grade 7, punctuation, key ideas",Medium
445,English,8,Advanced Concepts of Nouns (Basics),"Learn about the foundational elements, mechanisms, and real-world importance of Nouns tailored for Grade 8 students.","english, grade 8, nouns, basics",Hard
446,English,8,Advanced Concepts of Verbs (Principles),"Learn about the foundational elements, mechanisms, and real-world importance of Verbs tailored for Grade 8 students.","english, grade 8, verbs, principles",Hard
447,English,8,Advanced Concepts of Adjectives (Applications),"Learn about the foundational elements, mechanisms, and real-world importance of Adjectives tailored for Grade 8 students.","english, grade 8, adjectives, applications",Hard
448,English,8,Advanced Concepts of Pronouns (Theories),"Learn about the foundational elements, mechanisms, and real-world importance of Pronouns tailored for Grade 8 students.","english, grade 8, pronouns, theories",Hard
449,English,8,Advanced Concepts of Tenses (Exploration),"Learn about the foundational elements, mechanisms, and real-world importance of Tenses tailored for Grade 8 students.","english, grade 8, tenses, exploration",Hard
450,English,8,Advanced Concepts of Direct and Indirect Speech (Processes),"Learn about the foundational elements, mechanisms, and real-world importance of Direct and Indirect Speech tailored for Grade 8 students.","english, grade 8, direct and indirect speech, processes",Hard
451,English,8,Advanced Concepts of Active and Passive Voice (Systems),"Learn about the foundational elements, mechanisms, and real-world importance of Active and Passive Voice tailored for Grade 8 students.","english, grade 8, active and passive voice, systems",Hard
452,English,8,Advanced Concepts of Conjunctions (Impact),"Learn about the foundational elements, mechanisms, and real-world importance of Conjunctions tailored for Grade 8 students.","english, grade 8, conjunctions, impact",Hard
453,English,8,Advanced Concepts of Prepositions (Dynamics),"Learn about the foundational elements, mechanisms, and real-world importance of Prepositions tailored for Grade 8 students.","english, grade 8, prepositions, dynamics",Hard
454,English,8,Advanced Concepts of Subject-Verb Agreement (Functions),"Learn about the foundational elements, mechanisms, and real-world importance of Subject-Verb Agreement tailored for Grade 8 students.","english, grade 8, subject-verb agreement, functions",Hard
455,English,8,Advanced Concepts of Vocabulary (Structure),"Learn about the foundational elements, mechanisms, and real-world importance of Vocabulary tailored for Grade 8 students.","english, grade 8, vocabulary, structure",Hard
456,English,8,Advanced Concepts of Punctuation (Key Ideas),"Learn about the foundational elements, mechanisms, and real-world importance of Punctuation tailored for Grade 8 students.","english, grade 8, punctuation, key ideas",Hard
457,English,9,Advanced Concepts of Nouns (Basics),"Learn about the foundational elements, mechanisms, and real-world importance of Nouns tailored for Grade 9 students.","english, grade 9, nouns, basics",Hard
458,English,9,Advanced Concepts of Verbs (Principles),"Learn about the foundational elements, mechanisms, and real-world importance of Verbs tailored for Grade 9 students.","english, grade 9, verbs, principles",Hard
